,Unnamed,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,1.60E-05,1,1,274.2691615
1,1,Sirius,8.6,2.1,1.71,196.9717996
2,3,Alpha Centauri,4.4,1.1,1.2,209.511165
3,12,Altair,17,1.8,1.8,152.3717564
4,18,Fomalhaut,25,1.9,1.8,160.8368539
5,52,Tau Ceti,11.9,0.783,0.893,269.2996711
6,53,Delta Pavonis,19.92,0.991,1.22,182.6126975
7,59,Titawin,44.25,1.27,1.48,159.0220211
8,67,54 Piscium,36.1,0.76,0.94,235.9037604
9,103,2MASSW J0045214+163445,57,0.021955524,0.16647606,217.2787268
10,104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,176.0410467
11,126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,264.0615701
12,133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383
13,139,2MASS J04433764+0002040,82,0.021000936,0.18291814,172.1480378
14,143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,273.3886766
15,147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362
16,173,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,336.7014135
17,200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,298.8070453
18,239,2MASSW J2206450-421721,93,0.021000936,0.13667479,308.3463413
19,244,2MASSW J2244316+204343,56,0.011455056,0.13256427,178.780944
20,245,2MASS J23224684-3133231,56,0.022910112,0.14284057,307.964773
